trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.2, 'e': 0.9073538359693039}",20,0,-86.0238778729191,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
96,False,"{'a': 0.2, 'e': 0.8998389502438285}",25,0,-82.777843945547,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
97,False,"{'a': 0.2, 'e': 0.8919910223034084}",20,0,-78.4644516624407,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.2, 'e': 0.8838158699485481}",20,0,-30.34198223554599,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
99,False,"{'a': 0.2, 'e': 0.875320531135102}",20,0,-50.505090420575215,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
100,False,"{'a': 0.2, 'e': 0.8665132033419162}",20,11,-49.361907919685564,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.2, 'e': 0.8574031756741586}",20,1,-31.326580994962672,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.8480007548041494}",20,3,-148.1213770604256,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
103,False,"{'a': 0.2, 'e': 0.8383171858548735}",20,0,-72.53108577467583,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
104,False,"{'a': 0.2, 'e': 0.8283645693169182}",20,4,-29.68114353503723,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
105,False,"{'a': 0.2, 'e': 0.8181557750594297}",25,0,-55.04146806419743,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.2, 'e': 0.807704354452035}",20,0,-79.17086389264783,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.797024451559731}",30,0,-81.71473119312964,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.7861307143087133}",20,8,-61.611942506315906,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
109,False,"{'a': 0.2, 'e': 0.7750382064500816}",25,0,-80.28067844136444,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
110,False,"{'a': 0.2, 'e': 0.7637623210723163}",20,0,-49.28911748051213,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
111,False,"{'a': 0.2, 'e': 0.7523186963342055}",25,10,-6.40102422216558,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.7407231340091724}",20,0,-46.13800426506892,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.2, 'e': 0.7289915213512108}",20,0,-58.450557891230986,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
114,False,"{'a': 0.2, 'e': 0.7171397567131459}",20,0,-58.817402738242556,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.2, 'e': 0.7051836792708419}",20,0,-114.8647317368322,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
116,False,"{'a': 0.2, 'e': 0.6931390031331592}",20,0,-31.139502989706546,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.2, 'e': 0.6810212560476867}",20,0,-17.17354622555046,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
118,False,"{'a': 0.2, 'e': 0.6688457228470912}",20,0,-81.37938793124844,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.6566273937207769}",20,0,-37.16532381898317,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
120,False,"{'a': 0.2, 'e': 0.6443809173416734}",30,0,-52.549022307132255,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.2, 'e': 0.6321205588285577}",25,0,-43.961656994686265,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.2, 'e': 0.6198601624803775}",30,0,-168.60541186082403,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
123,False,"{'a': 0.2, 'e': 0.6076131191805334}",25,0,-12.476206149140463,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.2, 'e': 0.5953923383358681}",25,2,-25.286144190536724,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.5832102241869838}",20,12,-13.364270614911076,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.5710786563032355}",25,0,-23.730284997760776,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.5590089740570173}",20,0,-25.021843666078613,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
128,False,"{'a': 0.2, 'e': 0.5470119648574547}",20,2,14.480371476070939,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
